[19:05:42] Messen mit P=1 ...[INFO] Mi 02.07.2025 19:05:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:11:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:12:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:13:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:14:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:15:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:16:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:17:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:18:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:19:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:20:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:21:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:22:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:23:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:24:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:25:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:42 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:26:52 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:02 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:12 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:22 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:32 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:27:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:28:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:29:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:30:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:31:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:03 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:13 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:23 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:33 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:43 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:32:53 CEST → Läuft noch: N=1843200000, P=1
[INFO] Mi 02.07.2025 19:33:03 CEST → Läuft noch: N=1843200000, P=1
[19:33:12] P=1 done
[19:33:12] Messen mit P=2 ...[INFO] Mi 02.07.2025 19:33:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:33:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:33:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:33:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:33:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:34:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:35:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:36:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:37:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:38:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:39:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:40:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:41:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:42:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:43:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:44:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:45:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:46:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:47:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:48:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:49:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:50:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:51:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:13 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:23 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:33 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:43 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:52:53 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:03 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:14 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:24 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:34 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:44 CEST → Läuft noch: N=1843200000, P=2
[INFO] Mi 02.07.2025 19:53:54 CEST → Läuft noch: N=1843200000, P=2
[19:54:03] P=2 done
[19:54:03] Messen mit P=3 ...[INFO] Mi 02.07.2025 19:54:04 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:54:14 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:54:24 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:54:34 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:54:44 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:54:54 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:04 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:14 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:24 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:34 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:44 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:55:54 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:04 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:14 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:24 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:34 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:44 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:56:54 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:04 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:14 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:24 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:34 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:44 CEST → Läuft noch: N=1843200000, P=3
[INFO] Mi 02.07.2025 19:57:54 CEST → Läuft noch: N=1843200000, P=3
